22481,相原,あいはら,139.334805,35.603694
29398,青井,あおい,139.823611,35.769444
22482,青砥,あおと,139.859388,35.7425
29058,青海(東京都),あおみ,139.784722,35.621667
22483,青物横丁,あおものよこちょう,139.746194,35.606111
22484,青山一丁目,あおやまいっちょうめ,139.727222,35.669583
22485,赤坂(東京都),あかさか,139.739583,35.669
22486,赤坂見附,あかさかみつけ,139.740278,35.673777
29618,赤土小学校前,あかどしょうがっこうまえ,139.772222,35.739722
22487,赤羽,あかばね,139.724167,35.774444
22488,赤羽岩淵,あかばねいわぶち,139.725027,35.780278
29341,赤羽橋,あかばねばし,139.747222,35.651667
22489,秋川,あきがわ,139.289861,35.724833
22490,昭島,あきしま,139.364083,35.710333
22491,秋津,あきつ,139.5,35.775055
22492,秋葉原,あきはばら,139.776305,35.695305
22493,曙橋,あけぼのばし,139.725972,35.689167
22494,阿佐ケ谷,あさがや,139.639527,35.701667
22495,浅草,あさくさ,139.80086,35.707444
29397,浅草(ＴＸ),あさくさ,139.795833,35.711389
22496,浅草橋,あさくさばし,139.789194,35.694222
29325,麻布十番,あざぶじゅうばん,139.740278,35.652778
22497,飛鳥山,あすかやま,139.740611,35.746944
29620,足立小台,あだちおだい,139.773611,35.751389
22498,穴守稲荷,あなもりいなり,139.749972,35.547166
22499,綾瀬,あやせ,139.828389,35.758944
22500,新井薬師前,あらいやくしまえ,139.675111,35.712555
29329,荒川一中前,あらかわいっちゅうまえ,139.792139,35.730499
22501,荒川区役所前,あらかわくやくしょまえ,139.789666,35.731722
22502,荒川車庫前,あらかわしゃこまえ,139.755999,35.747666
22503,荒川七丁目,あらかわななちょうめ,139.787444,35.738722
22504,荒川二丁目,あらかわにちょうめ,139.787917,35.735472
22505,荒川遊園地前,あらかわゆうえんちまえ,139.761111,35.7475
29060,有明(東京都),ありあけ,139.796667,35.631111
29554,有明テニスの森,ありあけてにすのもり,139.792222,35.636667
22506,淡路町,あわじちょう,139.770777,35.692166
22507,飯田橋,いいだばし,139.748056,35.698889
22508,井荻,いおぎ,139.61786,35.721305
22509,軍畑,いくさばた,139.210833,35.804388
22510,池上,いけがみ,139.706471,35.568805
22511,池尻大橋,いけじりおおはし,139.687778,35.647416
22512,池ノ上,いけのうえ,139.676332,35.657222
22513,池袋,いけぶくろ,139.714361,35.726694
22514,石川台,いしかわだい,139.68875,35.593805
22515,石神前,いしがみまえ,139.228222,35.793528
29235,泉体育館,いずみたいいくかん,139.422778,35.715556
22516,和泉多摩川,いずみたまがわ,139.576833,35.624028
22517,板橋,いたばし,139.722694,35.742472
22518,板橋区役所前,いたばしくやくしょまえ,139.713472,35.748027
22519,板橋本町,いたばしほんちょう,139.708861,35.757833
22520,市ケ谷,いちがや,139.738805,35.687778
22521,一之江,いちのえ,139.886111,35.682778
22522,稲城,いなぎ,139.503389,35.632944
22523,稲城長沼,いなぎながぬま,139.505889,35.640999
22524,稲荷町(東京都),いなりちょう,139.785916,35.708111
22525,井の頭公園,いのかしらこうえん,139.585916,35.694277
22526,入谷(東京都),いりや,139.787778,35.717472
22527,岩本町,いわもとちょう,139.77825,35.692305
22528,上野,うえの,139.78,35.710333
29335,上野御徒町,うえのおかちまち,139.776944,35.704722
22529,上野広小路,うえのひろこうじ,139.77625,35.704416
22530,浮間舟渡,うきまふなど,139.694583,35.787999
22531,鶯谷,うぐいすだに,139.782305,35.717083
29334,牛込神楽坂,うしごめかぐらざか,139.739028,35.697639
29333,牛込柳町,うしごめやなぎちょう,139.728333,35.696277
22532,牛田(東京都),うしだ,139.8145,35.741166
22533,牛浜,うしはま,139.33661,35.731389
22534,内幸町,うちさいわいちょう,139.758777,35.6665
22535,鵜の木,うのき,139.684028,35.57211
22536,梅ケ丘,うめがおか,139.656833,35.652694
22537,梅島,うめじま,139.80086,35.769361
22538,梅屋敷(東京都),うめやしき,139.731389,35.563555
22542,永福町,えいふくちょう,139.64586,35.672999
22543,江古田,えこだ,139.676028,35.734333
22539,越中島,えっちゅうじま,139.795833,35.664722
22544,江戸川,えどがわ,139.899444,35.7345
22545,江戸川橋,えどがわばし,139.736777,35.70625
22546,荏原中延,えばらなかのぶ,139.715166,35.606694
22547,荏原町,えばらまち,139.711028,35.600527
22548,恵比寿,えびす,139.7125,35.643611
29621,扇大橋,おうぎおおはし,139.774028,35.760556
22549,王子,おうじ,139.741111,35.75
22550,王子駅前,おうじえきまえ,139.741332,35.749639
22551,王子神谷,おうじかみや,139.739028,35.761888
22552,青梅,おうめ,139.261555,35.787083
22553,青梅街道,おうめかいどう,139.479749,35.727388
22554,大井競馬場前,おおいけいばじょうまえ,139.750305,35.591806
22555,大泉学園,おおいずみがくえん,139.589749,35.746305
22556,大井町,おおいまち,139.737778,35.603889
22557,大岡山,おおおかやま,139.688832,35.604277
22558,大久保(東京都),おおくぼ,139.700583,35.6975
22559,大崎,おおさき,139.731389,35.616667
22560,大崎広小路,おおさきひろこうじ,139.725944,35.619444
22561,大島(東京都),おおじま,139.838889,35.686667
22562,大塚(東京都),おおつか,139.731332,35.728555
22563,大塚駅前,おおつかえきまえ,139.732555,35.728333
29296,大塚・帝京大学,おおつかていきょうだいがく,139.419722,35.633611
22564,大手町(東京都),おおてまち,139.7675,35.6825
22565,大鳥居,おおとりい,139.743194,35.549167
22566,大森(東京都),おおもり,139.731138,35.585139
22567,大森海岸,おおもりかいがん,139.738666,35.584444
22568,大森町,おおもりまち,139.735305,35.569333
22569,大山(東京都),おおやま,139.705889,35.745221
22570,御徒町,おかちまち,139.778056,35.704167
