藤野,上野原,3.32358
上野原,四方津,3.93822
四方津,梁川,3.27449
梁川,鳥沢,3.15578
鳥沢,猿橋,3.2042
猿橋,大月,2.36301
大月,初狩,5.66317
初狩,笹子,5.42001
笹子,甲斐大和,5.5717
甲斐大和,勝沼ぶどう郷,5.08455
勝沼ぶどう郷,塩山,3.69726
塩山,東山梨,3.1193
東山梨,山梨市,2.08599
山梨市,春日居町,2.51535
春日居町,石和温泉,2.82649
石和温泉,酒折,3.23441
酒折,甲府,2.82381
甲府,竜王,4.49525
竜王,塩崎,3.56197
塩崎,韮崎,4.07876
韮崎,新府,3.43407
新府,穴山,2.35173
穴山,日野春,4.7411
日野春,長坂,4.76471
長坂,小淵沢,6.09052
東京,神田,1.16236
神田,御茶ノ水,1.06899
御茶ノ水,四ツ谷,3.44613
四ツ谷,新宿,2.75633
新宿,中野,3.59974
中野,高円寺,1.46095
高円寺,阿佐ヶ谷,1.24697
阿佐ヶ谷,荻窪,1.42333
荻窪,西荻窪,1.87497
西荻窪,吉祥寺,1.77126
吉祥寺,三鷹,1.75603
三鷹,武蔵境,1.52955
武蔵境,東小金井,1.67709
東小金井,武蔵小金井,1.65768
武蔵小金井,国分寺,2.31937
国分寺,西国分寺,1.34134
西国分寺,国立,1.77568
国立,立川,2.94928
立川,日野,2.76279
日野,豊田,2.46592
豊田,八王子,3.86451
八王子,西八王子,2.38437
西八王子,高尾,3.18671
三鷹,吉祥寺,1.75603
吉祥寺,西荻窪,1.77126
西荻窪,荻窪,1.87497
荻窪,阿佐ヶ谷,1.42333
阿佐ヶ谷,高円寺,1.24697
高円寺,中野,1.46095
中野,東中野,1.68168
東中野,大久保,1.32722
大久保,新宿,1.26162
新宿,代々木,0.75502
代々木,千駄ヶ谷,0.890803
千駄ヶ谷,信濃町,0.831349
信濃町,四ツ谷,1.11738
四ツ谷,市ヶ谷,0.709241
市ヶ谷,飯田橋,1.41823
飯田橋,水道橋,1.05029
水道橋,御茶ノ水,0.979881
御茶ノ水,秋葉原,0.76042
秋葉原,浅草橋,1.18261
浅草橋,両国,0.661068
両国,錦糸町,1.88187
錦糸町,亀戸,1.09668
亀戸,平井,1.75692
平井,新小岩,1.82727
新小岩,小岩,2.82345
小岩,市川,2.42941
市川,本八幡,1.95388
本八幡,下総中山,1.5958
下総中山,西船橋,1.67599
西船橋,船橋,2.35129
船橋,東船橋,1.75077
東船橋,津田沼,1.74205
津田沼,幕張本郷,2.88022
幕張本郷,幕張,2.04356
幕張,新検見川,1.61328
新検見川,稲毛,2.3852
稲毛,西千葉,1.8956
西千葉,千葉,1.33683
東京,新日本橋,1.03562
新日本橋,馬喰町,0.976424
馬喰町,錦糸町,2.89308
錦糸町,新小岩,4.5302
新小岩,市川,4.73839
市川,船橋,7.53797
船橋,津田沼,3.40931
津田沼,稲毛,8.88533
稲毛,千葉,3.22265
千葉,東千葉,0.940731
東千葉,都賀,3.1539
都賀,四街道,3.37003
四街道,物井,4.07663
物井,佐倉,3.58887
佐倉,南酒々井,3.76205
南酒々井,榎戸,2.90404
榎戸,八街,3.50139
八街,日向,5.62455
日向,成東,4.84273
成東,松尾,5.27116
松尾,横芝,4.13974
横芝,飯倉,3.89943
飯倉,八日市場,3.11418
八日市場,干潟,5.05645
干潟,旭,4.68705
旭,飯岡,2.73528
飯岡,倉橋,2.87835
