station_name,lat,lon,station_cd,yomi,pref_cd
神谷町,35.662978,139.745069,2800317,かみやちょう,13
広尾,35.652279,139.722202,2800319,ひろお,13
落合,35.710976,139.687284,2800402,おちあい,1
神楽坂,35.70379,139.734546,2800405,かぐらざか,13
竹橋,35.690662,139.756817,2800408,たけばし,13
木場,35.669351,139.807042,2800413,きば,13
東陽町,35.669629,139.817596,2800414,とうようちょう,13
南砂町,35.668796,139.83065,2800415,みなみすなまち,13
西葛西,35.664631,139.859259,2800416,にしかさい,13
葛西,35.663554,139.872458,2800417,かさい,13
浦安,35.665932,139.893193,2800418,,31
南行徳,35.672687,139.902311,2800419,,12
行徳,35.682686,139.914254,2800420,,12
妙典,35.690935,139.924209,2800421,,12
原木中山,35.703517,139.942029,2800422,,12
北綾瀬,35.777117,139.832035,2800501,きたあやせ,13
千駄木,35.725549,139.763243,2800506,せんだぎ,13
根津,35.7174,139.765655,2800507,ねづ,13
湯島,35.708243,139.769916,2800508,ゆしま,13
新御茶ノ水,35.698072,139.766014,2800509,しんおちゃのみず,13
二重橋前,35.681071,139.761948,2800511,にじゅうばしまえ,13
乃木坂,35.666572,139.726215,2800516,のぎざか,13
代々木公園,35.669187,139.689099,2800519,よよぎこうえん,13
東池袋,35.725732,139.719546,2800610,ひがしいけぶくろ,13
護国寺,35.719044,139.72754,2800611,ごこくじ,13
江戸川橋,35.709495,139.733538,2800612,えどがわばし,13
麹町,35.684006,139.737613,2800615,こうじまち,13
桜田門,35.677405,139.75149,2800617,さくらだもん,13
銀座一丁目,35.67435,139.767045,2800619,ぎんざいっちょうめ,13
新富町,35.670462,139.773711,2800620,しんとみちょう,13
辰巳,35.645576,139.81052,2800623,たつみ,13
半蔵門,35.685703,139.74163,2800805,はんぞうもん,13
水天宮前,35.682683,139.785377,2800810,すいてんぐうまえ,13
志茂,35.777948,139.732599,2800902,しも,13
王子神谷,35.765172,139.735933,2800903,おうじかみや,13
西ヶ原,35.746008,139.742322,2800905,にしがはら,13
本駒込,35.724155,139.753828,2800907,ほんこまごめ,13
東大前,35.717633,139.758025,2800908,とうだいまえ,13
六本木一丁目,35.665595,139.739,2800915,ろっぽんぎいっちょうめ,13
雑司が谷,35.720233,139.714795,2801010,ぞうしがや,13
西早稲田,35.708242,139.709101,2801011,にしわせだ,13
北参道,35.678459,139.705453,2801014,きたさんどう,13
平沼橋,35.460355,139.616897,2900102,,14
西横浜,35.453437,139.608745,2900103,,14
天王町,35.453984,139.602554,2900104,,14
星川,35.458634,139.594816,2900105,,14
和田町,35.463597,139.586786,2900106,,14
上星川,35.467694,139.580078,2900107,,14
南万騎が原,35.452522,139.526344,2900202,,14
緑園都市,35.439502,139.521841,2900203,,14
弥生台,35.429933,139.506615,2900204,,14
いずみ野,35.429434,139.495135,2900205,,14
いずみ中央,35.415385,139.48727,2900206,,14
ゆめが丘,35.405436,139.482192,2900207,,14
都庁前,35.690551,139.69257,9930101,とちょうまえ,13
新宿西口,35.693315,139.699155,9930102,しんじゅくにしぐち,13
若松河田,35.699218,139.718184,9930104,わかまつかわだ,13
牛込柳町,35.699518,139.725027,9930105,うしごめやなぎちょう,13
牛込神楽坂,35.700851,139.735802,9930106,うしごめかぐらざか,13
上野御徒町,35.707893,139.774332,9930110,うえのおかちまち,13
勝どき,35.658507,139.776442,9930118,かちどき,13
築地市場,35.664895,139.766915,9930119,つきじしじょう,13
赤羽橋,35.655007,139.743642,9930122,あかばねばし,13
国立競技場,35.679831,139.714932,9930126,こくりつきょうぎじょう,13
西新宿五丁目,35.689798,139.684304,9930129,にししんじゅくごちょうめ,13
落合南長崎,35.723608,139.683303,9930133,おちあいみなみながさき,13
新江古田,35.732538,139.670653,9930134,しんえごた,13
練馬春日町,35.751452,139.640236,9930137,ねりまかすがちょう,13
光が丘,35.758526,139.628603,9930138,ひかりがおか,13
西馬込,35.586859,139.705942,9930201,にしまごめ,13
馬込,35.596435,139.711772,9930202,まごめ,13
戸越,35.614633,139.716495,9930204,とごし,13
高輪台,35.631679,139.730305,9930206,たかなわだい,13
宝町,35.675461,139.771767,9930212,たからちょう,13
東日本橋,35.692126,139.784821,9930215,ひがしにほんばし,13
本所吾妻橋,35.70858,139.804624,9930219,ほんじょあづまばし,13
芝公園,35.654074,139.749824,9930305,しばこうえん,13
御成門,35.661215,139.751535,9930306,おなりもん,13
内幸町,35.66975,139.75561,9930307,うちさいわいちょう,13
白山,35.721408,139.752136,9930313,はくさん,15
千石,35.727957,139.744792,9930314,せんごく,13
西巣鴨,35.743508,139.728712,9930316,にしすがも,13
新板橋,35.748785,139.720101,9930317,しんいたばし,13
板橋区役所前,35.751284,139.710102,9930318,いたばしくやくしょまえ,13
